问题,回答
番茄炒蛋怎么做？,1) 番茄切块、鸡蛋加盐打散。2) 热锅下油，先炒鸡蛋至凝固盛出。3) 再少油下番茄炒出汁，加少许盐/糖调味。4) 倒回鸡蛋翻炒均匀，出锅前撒葱花。
可乐鸡翅怎么做？,1) 鸡翅划两刀，焯水去浮沫。2) 锅中少油煎至两面微黄。3) 加姜片、料酒，倒入可乐没过鸡翅。4) 小火焖15–20分钟，转大火收汁至粘亮即可。
红烧肉怎么做？,1) 五花肉切块焯水。2) 锅中少油下冰糖小火炒糖色。3) 下五花肉翻炒上色，加葱姜、料酒、生抽、老抽。4) 加热水没过，小火炖45–60分钟；最后大火收汁。
宫保鸡丁怎么做？,1) 鸡胸/鸡腿肉切丁，用盐、料酒、生抽、淀粉腌10分钟。2) 调碗汁：生抽+醋+糖+少许淀粉+水。3) 热锅下油炒花生/干辣椒/花椒出香，入鸡丁炒熟。4) 下黄瓜/葱段，倒碗汁翻匀收汁。
蒜蓉西兰花怎么做？,1) 西兰花掰小朵，淡盐水泡洗。2) 水开加盐和几滴油，焯30–60秒捞出过冷水。3) 锅热下油，下蒜末炒香。4) 倒入西兰花，加盐/蚝油翻炒，必要时加少量水焖1分钟。
酸辣土豆丝怎么做？,1) 土豆切细丝，清水浸泡洗去淀粉并沥干。2) 热锅下油，爆香干辣椒/蒜。3) 下土豆丝大火快炒1–2分钟。4) 加盐、醋（出锅前淋更脆），可加少许糖提味，迅速出锅。
麻婆豆腐怎么做？,1) 豆腐切块焯水（加盐更不易碎）。2) 锅中下油炒香豆瓣酱和蒜末。3) 加少量水/高汤，放豆腐小火煮3–5分钟。4) 加生抽、花椒粉，勾薄芡，撒葱花即可。
葱油拌面怎么做？,1) 葱白葱绿切段。2) 锅中多放些油，小火炸葱至金黄捞出。3) 油中加生抽、老抽、糖小火熬10–20秒成葱油汁。4) 煮面条，捞出拌葱油汁，放回炸葱即可。
紫菜蛋花汤怎么做？,1) 碗中放紫菜、虾皮、葱花。2) 锅中水开加盐/胡椒粉。3) 蛋液沿锅边慢慢倒入形成蛋花。4) 关火后倒入碗中，可淋香油。
鱼香肉丝怎么做？,1) 猪里脊切丝，用盐、料酒、生抽、淀粉腌10分钟。2) 备配菜：木耳、胡萝卜、青椒切丝。3) 调鱼香汁：生抽+醋+糖+豆瓣酱+淀粉+水。4) 热锅下油炒香葱姜蒜，入肉丝炒变色，入配菜翻炒，倒汁收浓即可。
清炒虾仁怎么做？,1) 虾仁去虾线，少许盐/料酒/淀粉抓匀。2) 热锅下油，先下姜片或葱白爆香。3) 下虾仁快速翻炒至变粉白卷曲。4) 加少许盐/白胡椒，出锅前淋几滴香油。
西红柿牛腩怎么做？,1) 牛腩切块焯水。2) 锅中少油炒香葱姜，入牛腩翻炒。3) 加番茄块炒出红汁，倒入开水没过。4) 小火炖1–1.5小时至软烂，最后加盐调味。
蛋炒饭怎么做？,1) 米饭提前冷藏更粒粒分明。2) 鸡蛋打散，热锅下油炒成蛋碎盛出。3) 下少许油，入葱花炒香，倒入米饭大火翻炒散开。4) 加盐、生抽少量，倒回蛋碎翻匀即可。
糖醋排骨怎么做？,1) 排骨焯水。2) 锅中少油煎至微黄。3) 按“1料酒2生抽3醋4糖”比例调汁（可加少许老抽上色），倒入没过排骨。4) 小火焖30–40分钟，大火收汁至浓亮。
青椒肉丝怎么做？,1) 里脊切丝腌：盐、料酒、生抽、淀粉。2) 青椒切丝。3) 热锅下油，入肉丝大火快炒至变色盛出。4) 再下少许油炒青椒，加盐，倒回肉丝翻匀即可。
白菜炖豆腐怎么做？,1) 白菜切段，豆腐切块焯水。2) 锅中下油炒香葱姜，先下白菜翻炒至出水。3) 加水/高汤，放豆腐小火炖8–12分钟。4) 加盐、生抽少许，出锅前撒葱花。
凉拌黄瓜怎么做？,1) 黄瓜拍裂切段，加盐抓匀腌10分钟倒掉水。2) 蒜末、辣椒圈、香菜备好。3) 调汁：生抽+醋+糖+香油（可加花生碎）。4) 淋汁拌匀，冷藏10分钟更入味。
土豆炖牛肉怎么做？,1) 牛肉焯水后与葱姜炒香。2) 加水没过，小火炖40–60分钟。3) 土豆切块下锅再炖15–20分钟至软。4) 加盐、生抽调味，收汁即可。
蒸蛋怎么做？,1) 鸡蛋打散，加温水（约1:1.5）和少许盐，过滤更细腻。2) 盖保鲜膜扎小孔或盖盘子。3) 水开上锅中小火蒸8–12分钟。4) 出锅淋生抽和香油，撒葱花。
家常豆角炒肉怎么做？,1) 豆角掰段，焯水2–3分钟更易熟。2) 猪肉切片腌：盐、料酒、生抽。3) 热锅下油炒肉至变色，入蒜末、豆角大火翻炒。4) 加盐/生抽少量，必要时加少许水焖2分钟。
